,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
4/8/2015,2076.94,2086.69,2073.3,2081.9,0.27%,0.0041%,0.0006%,0.0023%,0.03%,0.47%,-0.18%,0.24%,0.00%,,,,,,,,
4/9/2015,2081.29,2093.31,2074.29,2091.18,0.45%,0.0083%,0.0022%,0.0050%,-0.03%,0.58%,-0.34%,0.47%,0.00%,,,,,,,,
4/10/2015,2091.51,2102.61,2091.51,2102.06,0.52%,0.0028%,0.0025%,0.0024%,0.02%,0.53%,0.00%,0.50%,0.00%,,,,,,,,
4/13/2015,2102.03,2107.65,2092.33,2092.43,-0.46%,0.0053%,0.0021%,0.0035%,0.00%,0.27%,-0.46%,-0.46%,0.00%,,,,,,,,
4/14/2015,2092.28,2098.62,2083.24,2095.84,0.16%,0.0054%,0.0003%,0.0028%,-0.01%,0.30%,-0.43%,0.17%,0.00%,,,,,,,,
4/15/2015,2097.82,2111.91,2097.82,2106.63,0.51%,0.0045%,0.0018%,0.0029%,0.09%,0.67%,0.00%,0.42%,0.00%,,,,,,,,
4/16/2015,2105.96,2111.3,2100.02,2104.99,-0.08%,0.0029%,0.0000%,0.0014%,-0.03%,0.25%,-0.28%,-0.05%,0.00%,,,,,,,,
4/17/2015,2102.58,2102.58,2072.37,2081.18,-1.13%,0.0209%,0.0105%,0.0145%,-0.11%,0.00%,-1.45%,-1.02%,0.01%,,,,,,,,
4/20/2015,2084.11,2103.94,2084.11,2100.4,0.92%,0.0090%,0.0061%,0.0068%,0.14%,0.95%,0.00%,0.78%,0.00%,,,,,,,,
4/21/2015,2102.82,2109.64,2094.38,2097.29,-0.15%,0.0053%,0.0007%,0.0029%,0.12%,0.32%,-0.40%,-0.26%,0.00%,,,,,,,,
4/22/2015,2098.27,2109.98,2091.05,2107.96,0.51%,0.0081%,0.0021%,0.0049%,0.05%,0.56%,-0.34%,0.46%,0.00%,,,,,,,,
4/23/2015,2107.21,2120.49,2103.19,2112.93,0.24%,0.0067%,0.0007%,0.0036%,-0.04%,0.63%,-0.19%,0.27%,0.00%,,,,,,,,
4/24/2015,2112.8,2120.92,2112.8,2117.69,0.23%,0.0015%,0.0005%,0.0009%,-0.01%,0.38%,0.00%,0.23%,0.00%,,,,,,,,
4/27/2015,2119.29,2125.92,2107.04,2108.92,-0.41%,0.0080%,0.0024%,0.0049%,0.08%,0.31%,-0.58%,-0.49%,0.00%,,,,,,,,
4/28/2015,2108.35,2116.09,2094.89,2114.76,0.28%,0.0101%,0.0009%,0.0054%,-0.03%,0.37%,-0.64%,0.30%,0.01%,,,,,,,,
4/29/2015,2112.49,2113.65,2097.41,2106.85,-0.37%,0.0059%,0.0007%,0.0033%,-0.11%,0.05%,-0.72%,-0.27%,0.00%,,,,,,,,
4/30/2015,2105.52,2105.52,2077.59,2085.51,-1.01%,0.0178%,0.0091%,0.0124%,-0.06%,0.00%,-1.34%,-0.95%,0.01%,,,,,,,,
5/1/2015,2087.38,2108.41,2087.38,2108.29,1.09%,0.0100%,0.0099%,0.0089%,0.09%,1.00%,0.00%,1.00%,0.00%,,,,,,,,
5/4/2015,2110.23,2120.95,2110.23,2114.49,0.29%,0.0026%,0.0004%,0.0014%,0.09%,0.51%,0.00%,0.20%,0.00%,,,,,,,,
5/5/2015,2112.63,2115.24,2088.46,2089.46,-1.18%,0.0162%,0.0122%,0.0128%,-0.09%,0.12%,-1.15%,-1.10%,0.00%,,,,,,,,
5/6/2015,2091.26,2098.42,2067.93,2080.15,-0.45%,0.0214%,0.0028%,0.0118%,0.09%,0.34%,-1.12%,-0.53%,0.01%,,,,,,,,
5/7/2015,2079.96,2092.9,2074.99,2088,0.38%,0.0074%,0.0015%,0.0043%,-0.01%,0.62%,-0.24%,0.39%,0.00%,,,,,,,,
5/8/2015,2092.13,2117.66,2092.13,2116.1,1.35%,0.0147%,0.0130%,0.0124%,0.20%,1.21%,0.00%,1.14%,0.00%,,,,,,,,
5/11/2015,2115.56,2117.69,2104.58,2105.33,-0.51%,0.0039%,0.0023%,0.0028%,-0.03%,0.10%,-0.52%,-0.48%,0.00%,,,,,,,,
5/12/2015,2102.87,2105.06,2085.57,2099.12,-0.29%,0.0087%,0.0003%,0.0044%,-0.12%,0.10%,-0.83%,-0.18%,0.01%,,,,,,,,
5/13/2015,2099.62,2110.19,2096.04,2098.48,-0.03%,0.0045%,0.0000%,0.0023%,0.02%,0.50%,-0.17%,-0.05%,0.00%,,,,,,,,
5/14/2015,2100.43,2121.45,2100.43,2121.1,1.08%,0.0099%,0.0096%,0.0087%,0.09%,1.00%,0.00%,0.98%,0.00%,,,,,,,,
5/15/2015,2122.07,2123.89,2116.79,2122.73,0.08%,0.0011%,0.0000%,0.0006%,0.05%,0.09%,-0.25%,0.03%,0.00%,,,,,,,,
5/18/2015,2121.3,2131.78,2120.01,2129.2,0.30%,0.0031%,0.0014%,0.0021%,-0.07%,0.49%,-0.06%,0.37%,0.00%,,,,,,,,
5/19/2015,2129.45,2133.02,2124.5,2127.83,-0.06%,0.0016%,0.0001%,0.0008%,0.01%,0.17%,-0.23%,-0.08%,0.00%,,,,,,,,
5/20/2015,2127.79,2134.72,2122.59,2125.85,-0.09%,0.0032%,0.0001%,0.0017%,0.00%,0.33%,-0.24%,-0.09%,0.00%,,,,,,,,
5/21/2015,2125.55,2134.28,2122.95,2130.82,0.23%,0.0028%,0.0006%,0.0017%,-0.01%,0.41%,-0.12%,0.25%,0.00%,,,,,,,,
5/22/2015,2130.36,2132.15,2126.06,2126.06,-0.22%,0.0008%,0.0004%,0.0006%,-0.02%,0.08%,-0.20%,-0.20%,0.00%,,,,,,,,
5/26/2015,2125.34,2125.34,2099.18,2104.2,-1.03%,0.0153%,0.0100%,0.0115%,-0.03%,0.00%,-1.24%,-1.00%,0.00%,,,,,,,,
5/27/2015,2105.13,2126.22,2105.13,2123.48,0.92%,0.0099%,0.0075%,0.0079%,0.04%,1.00%,0.00%,0.87%,0.00%,,,,,,,,
5/28/2015,2122.27,2122.27,2112.86,2120.79,-0.13%,0.0020%,0.0000%,0.0010%,-0.06%,0.00%,-0.44%,-0.07%,0.00%,,,,,,,,
5/29/2015,2120.66,2120.66,2104.89,2107.39,-0.63%,0.0056%,0.0039%,0.0043%,-0.01%,0.00%,-0.75%,-0.63%,0.00%,,,,,,,,
6/1/2015,2108.64,2119.15,2102.54,2111.73,0.21%,0.0062%,0.0002%,0.0032%,0.06%,0.50%,-0.29%,0.15%,0.00%,,,,,,,,
6/2/2015,2110.41,2117.59,2099.14,2109.6,-0.10%,0.0077%,0.0000%,0.0038%,-0.06%,0.34%,-0.54%,-0.04%,0.00%,,,,,,,,
6/3/2015,2110.64,2121.92,2109.61,2114.07,0.21%,0.0034%,0.0003%,0.0018%,0.05%,0.53%,-0.05%,0.16%,0.00%,,,,,,,,
6/4/2015,2112.35,2112.89,2093.23,2095.84,-0.86%,0.0087%,0.0062%,0.0067%,-0.08%,0.03%,-0.91%,-0.78%,0.00%,,,,,,,,
6/5/2015,2095.09,2100.99,2085.67,2092.83,-0.14%,0.0054%,0.0001%,0.0027%,-0.04%,0.28%,-0.45%,-0.11%,0.00%,,,,,,,,
6/8/2015,2092.34,2093.01,2079.11,2079.28,-0.65%,0.0044%,0.0039%,0.0037%,-0.02%,0.03%,-0.63%,-0.63%,0.00%,,,,,,,,
6/9/2015,2079.07,2085.62,2072.14,2080.15,0.04%,0.0042%,0.0000%,0.0021%,-0.01%,0.31%,-0.33%,0.05%,0.00%,,,,,,,,
6/10/2015,2081.12,2108.5,2081.12,2105.2,1.20%,0.0171%,0.0132%,0.0137%,0.05%,1.31%,0.00%,1.15%,0.00%,,,,,,,,
6/11/2015,2106.24,2115.02,2106.24,2108.86,0.17%,0.0017%,0.0002%,0.0009%,0.05%,0.42%,0.00%,0.12%,0.00%,,,,,,,,
6/12/2015,2107.43,2107.43,2091.33,2094.11,-0.70%,0.0059%,0.0040%,0.0045%,-0.07%,0.00%,-0.77%,-0.63%,0.00%,,,,,,,,
6/15/2015,2091.34,2091.34,2072.49,2084.43,-0.46%,0.0082%,0.0011%,0.0045%,-0.13%,0.00%,-0.91%,-0.33%,0.01%,,,,,,,,
6/16/2015,2084.26,2097.4,2082.1,2096.29,0.57%,0.0054%,0.0033%,0.0040%,-0.01%,0.63%,-0.10%,0.58%,0.00%,,,,,,,,
6/17/2015,2097.4,2106.79,2088.86,2100.44,0.20%,0.0073%,0.0002%,0.0037%,0.05%,0.45%,-0.41%,0.14%,0.00%,,,,,,,,
6/18/2015,2101.58,2126.65,2101.58,2121.24,0.99%,0.0141%,0.0087%,0.0104%,0.05%,1.19%,0.00%,0.93%,0.00%,,,,,,,,
6/19/2015,2121.06,2121.64,2109.45,2109.99,-0.53%,0.0033%,0.0027%,0.0027%,-0.01%,0.03%,-0.55%,-0.52%,0.00%,,,,,,,,
6/22/2015,2112.5,2129.87,2112.5,2122.85,0.61%,0.0067%,0.0024%,0.0043%,0.12%,0.82%,0.00%,0.49%,0.00%,,,,,,,,
6/23/2015,2123.16,2128.03,2119.89,2124.2,0.06%,0.0015%,0.0000%,0.0007%,0.01%,0.23%,-0.15%,0.05%,0.00%,,,,,,,,
6/24/2015,2123.65,2125.1,2108.58,2108.58,-0.74%,0.0061%,0.0051%,0.0050%,-0.03%,0.07%,-0.71%,-0.71%,0.00%,,,,,,,,
6/25/2015,2109.96,2116.04,2101.78,2102.31,-0.30%,0.0046%,0.0013%,0.0028%,0.07%,0.29%,-0.39%,-0.36%,0.00%,,,,,,,,
6/26/2015,2102.62,2108.92,2095.38,2101.49,-0.04%,0.0041%,0.0000%,0.0021%,0.01%,0.30%,-0.34%,-0.05%,0.00%,,,,,,,,
6/29/2015,2098.63,2098.63,2056.64,2057.64,-2.09%,0.0408%,0.0389%,0.0355%,-0.14%,0.00%,-2.02%,-1.97%,0.00%,,,,,,,,
6/30/2015,2061.19,2074.28,2056.32,2063.11,0.27%,0.0076%,0.0001%,0.0038%,0.17%,0.63%,-0.24%,0.09%,0.00%,,,,,,,,
7/1/2015,2067,2082.78,2067,2077.42,0.69%,0.0058%,0.0025%,0.0039%,0.19%,0.76%,0.00%,0.50%,0.00%,,,,,,,,
7/2/2015,2078.03,2085.06,2071.02,2076.78,-0.03%,0.0046%,0.0000%,0.0023%,0.03%,0.34%,-0.34%,-0.06%,0.00%,,,,,,,,
7/6/2015,2073.95,2078.61,2058.4,2068.76,-0.39%,0.0095%,0.0006%,0.0050%,-0.14%,0.22%,-0.75%,-0.25%,0.00%,,,,,,,,
7/7/2015,2069.52,2083.74,2044.02,2081.34,0.61%,0.0370%,0.0032%,0.0198%,0.04%,0.68%,-1.24%,0.57%,0.02%,,,,,,,,
7/8/2015,2077.66,2077.66,2044.66,2046.68,-1.67%,0.0256%,0.0226%,0.0215%,-0.18%,0.00%,-1.60%,-1.50%,0.00%,,,,,,,,
7/9/2015,2049.73,2074.28,2049.73,2051.31,0.23%,0.0142%,0.0001%,0.0071%,0.15%,1.19%,0.00%,0.08%,0.01%,,,,,,,,
7/10/2015,2052.74,2081.31,2052.74,2076.62,1.23%,0.0191%,0.0134%,0.0147%,0.07%,1.38%,0.00%,1.16%,0.00%,,,,,,,,
7/13/2015,2080.03,2100.67,2080.03,2099.6,1.11%,0.0097%,0.0088%,0.0083%,0.16%,0.99%,0.00%,0.94%,0.00%,,,,,,,,
7/14/2015,2099.72,2111.98,2098.18,2108.95,0.45%,0.0043%,0.0019%,0.0029%,0.01%,0.58%,-0.07%,0.44%,0.00%,,,,,,,,
7/15/2015,2109.01,2114.14,2102.49,2107.4,-0.07%,0.0031%,0.0001%,0.0015%,0.00%,0.24%,-0.31%,-0.08%,0.00%,,,,,,,,
7/16/2015,2110.55,2124.42,2110.55,2124.29,0.80%,0.0043%,0.0042%,0.0038%,0.15%,0.66%,0.00%,0.65%,0.00%,,,,,,,,
7/17/2015,2126.8,2128.91,2119.88,2126.64,0.11%,0.0018%,0.0000%,0.0009%,0.12%,0.10%,-0.33%,-0.01%,0.00%,,,,,,,,
7/20/2015,2126.85,2132.82,2123.65,2128.28,0.08%,0.0019%,0.0000%,0.0009%,0.01%,0.28%,-0.15%,0.07%,0.00%,,,,,,,,
7/21/2015,2127.55,2128.49,2115.4,2119.21,-0.43%,0.0038%,0.0015%,0.0025%,-0.03%,0.04%,-0.57%,-0.39%,0.00%,,,,,,,,
7/22/2015,2118.21,2118.51,2110,2114.15,-0.24%,0.0016%,0.0004%,0.0010%,-0.05%,0.01%,-0.39%,-0.19%,0.00%,,,,,,,,
7/23/2015,2114.16,2116.87,2098.63,2102.15,-0.57%,0.0075%,0.0032%,0.0050%,0.00%,0.13%,-0.74%,-0.57%,0.00%,,,,,,,,
7/24/2015,2102.24,2106.01,2077.09,2079.65,-1.07%,0.0191%,0.0117%,0.0141%,0.00%,0.18%,-1.20%,-1.08%,0.00%,,,,,,,,
7/27/2015,2078.19,2078.19,2063.52,2067.64,-0.58%,0.0050%,0.0026%,0.0035%,-0.07%,0.00%,-0.71%,-0.51%,0.00%,,,,,,,,
7/28/2015,2070.75,2095.6,2069.09,2093.25,1.24%,0.0162%,0.0117%,0.0126%,0.15%,1.19%,-0.08%,1.08%,0.00%,,,,,,,,
7/29/2015,2094.7,2110.6,2094.08,2108.57,0.73%,0.0062%,0.0044%,0.0048%,0.07%,0.76%,-0.03%,0.66%,0.00%,,,,,,,,
7/30/2015,2106.78,2110.48,2094.97,2108.63,0.00%,0.0054%,0.0001%,0.0028%,-0.08%,0.18%,-0.56%,0.09%,0.00%,,,,,,,,
7/31/2015,2111.6,2114.24,2102.07,2103.84,-0.23%,0.0033%,0.0014%,0.0022%,0.14%,0.12%,-0.45%,-0.37%,0.00%,,,,,,,,
8/3/2015,2104.49,2105.7,2087.31,2098.04,-0.28%,0.0077%,0.0009%,0.0042%,0.03%,0.06%,-0.82%,-0.31%,0.00%,,,,,,,,
8/4/2015,2097.68,2102.51,2088.6,2093.32,-0.22%,0.0044%,0.0004%,0.0024%,-0.02%,0.23%,-0.43%,-0.21%,0.00%,,,,,,,,
8/5/2015,2095.27,2112.66,2095.27,2099.84,0.31%,0.0068%,0.0005%,0.0036%,0.09%,0.83%,0.00%,0.22%,0.01%,,,,,,,,
8/6/2015,2100.75,2103.32,2075.53,2083.56,-0.78%,0.0177%,0.0068%,0.0115%,0.04%,0.12%,-1.21%,-0.82%,0.01%,,,,,,,,
8/7/2015,2082.61,2082.61,2067.91,2077.57,-0.29%,0.0050%,0.0006%,0.0027%,-0.05%,0.00%,-0.71%,-0.24%,0.00%,,,,,,,,
8/10/2015,2080.98,2105.35,2080.98,2104.18,1.28%,0.0136%,0.0123%,0.0115%,0.16%,1.16%,0.00%,1.11%,0.00%,,,,,,,,
8/11/2015,2102.66,2102.66,2076.49,2084.07,-0.96%,0.0157%,0.0079%,0.0109%,-0.07%,0.00%,-1.25%,-0.89%,0.00%,,,,,,,,
8/12/2015,2081.1,2089.06,2052.09,2086.05,0.10%,0.0319%,0.0006%,0.0162%,-0.14%,0.38%,-1.40%,0.24%,0.02%,,,,,,,,
8/13/2015,2086.19,2092.93,2078.26,2083.39,-0.13%,0.0049%,0.0002%,0.0025%,0.01%,0.32%,-0.38%,-0.13%,0.00%,,,,,,,,
8/14/2015,2083.15,2092.45,2080.61,2091.54,0.39%,0.0032%,0.0016%,0.0022%,-0.01%,0.45%,-0.12%,0.40%,0.00%,,,,,,,,
8/17/2015,2089.7,2102.87,2079.3,2102.44,0.52%,0.0127%,0.0037%,0.0078%,-0.09%,0.63%,-0.50%,0.61%,0.01%,,,,,,,,
8/18/2015,2101.99,2103.47,2094.14,2096.92,-0.26%,0.0020%,0.0006%,0.0012%,-0.02%,0.07%,-0.37%,-0.24%,0.00%,,,,,,,,
8/19/2015,2095.69,2096.17,2070.53,2079.61,-0.83%,0.0151%,0.0059%,0.0099%,-0.06%,0.02%,-1.21%,-0.77%,0.01%,,,,,,,,
8/20/2015,2076.61,2076.61,2035.73,2035.73,-2.11%,0.0395%,0.0395%,0.0350%,-0.14%,0.00%,-1.99%,-1.99%,0.00%,,,,,,,,
