,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
12/6/2016,2207.26,2212.78,2202.21,2212.23,0.34%,0.0023%,0.0005%,0.0013%,0.12%,0.25%,-0.23%,0.22%,0.00%,,,,,,,,
12/7/2016,2210.72,2241.63,2208.93,2241.35,1.32%,0.0216%,0.0189%,0.0181%,-0.07%,1.39%,-0.08%,1.38%,0.00%,,,,,,,,
12/8/2016,2241.13,2251.69,2237.57,2246.19,0.22%,0.0040%,0.0005%,0.0022%,-0.01%,0.47%,-0.16%,0.23%,0.00%,,,,,,,,
12/9/2016,2249.73,2259.8,2249.23,2259.53,0.59%,0.0022%,0.0019%,0.0018%,0.16%,0.45%,-0.02%,0.43%,0.00%,,,,,,,,
12/12/2016,2258.83,2264.03,2252.37,2256.96,-0.11%,0.0027%,0.0001%,0.0014%,-0.03%,0.23%,-0.29%,-0.08%,0.00%,,,,,,,,
12/13/2016,2263.32,2277.53,2263.32,2271.72,0.65%,0.0039%,0.0014%,0.0025%,0.28%,0.63%,0.00%,0.37%,0.00%,,,,,,,,
12/14/2016,2268.35,2276.2,2248.44,2253.28,-0.81%,0.0151%,0.0044%,0.0092%,-0.15%,0.35%,-0.88%,-0.67%,0.01%,,,,,,,,
12/15/2016,2253.77,2272.12,2253.77,2262.03,0.39%,0.0066%,0.0013%,0.0038%,0.02%,0.81%,0.00%,0.37%,0.00%,,,,,,,,
12/16/2016,2266.81,2268.05,2254.24,2258.07,-0.18%,0.0037%,0.0015%,0.0024%,0.21%,0.05%,-0.56%,-0.39%,0.00%,,,,,,,,
12/19/2016,2259.24,2267.47,2258.21,2262.53,0.20%,0.0017%,0.0002%,0.0009%,0.05%,0.36%,-0.05%,0.15%,0.00%,,,,,,,,
12/20/2016,2266.5,2272.56,2266.14,2270.76,0.36%,0.0008%,0.0004%,0.0005%,0.18%,0.27%,-0.02%,0.19%,0.00%,,,,,,,,
12/21/2016,2270.54,2271.23,2265.15,2265.18,-0.25%,0.0007%,0.0006%,0.0006%,-0.01%,0.03%,-0.24%,-0.24%,0.00%,,,,,,,,
12/22/2016,2262.93,2263.18,2256.08,2260.96,-0.19%,0.0010%,0.0001%,0.0005%,-0.10%,0.01%,-0.30%,-0.09%,0.00%,,,,,,,,
12/23/2016,2260.25,2263.79,2258.84,2263.79,0.13%,0.0005%,0.0002%,0.0003%,-0.03%,0.16%,-0.06%,0.16%,0.00%,,,,,,,,
12/27/2016,2266.23,2273.82,2266.15,2268.88,0.22%,0.0011%,0.0001%,0.0006%,0.11%,0.33%,0.00%,0.12%,0.00%,,,,,,,,
12/28/2016,2270.23,2271.31,2249.11,2249.92,-0.84%,0.0096%,0.0081%,0.0079%,0.06%,0.05%,-0.93%,-0.90%,0.00%,,,,,,,,
12/29/2016,2249.5,2254.51,2244.56,2249.26,-0.03%,0.0020%,0.0000%,0.0010%,-0.02%,0.22%,-0.22%,-0.01%,0.00%,,,,,,,,
12/30/2016,2251.61,2253.58,2233.62,2238.83,-0.46%,0.0079%,0.0032%,0.0052%,0.10%,0.09%,-0.80%,-0.57%,0.00%,,,,,,,,
1/3/2017,2251.57,2263.88,2245.13,2257.83,0.85%,0.0069%,0.0008%,0.0038%,0.57%,0.55%,-0.29%,0.28%,0.00%,,,,,,,,
1/4/2017,2261.6,2272.82,2261.6,2270.75,0.57%,0.0024%,0.0016%,0.0019%,0.17%,0.49%,0.00%,0.40%,0.00%,,,,,,,,
1/5/2017,2268.18,2271.5,2260.45,2269,-0.08%,0.0024%,0.0000%,0.0012%,-0.11%,0.15%,-0.34%,0.04%,0.00%,,,,,,,,
1/6/2017,2271.14,2282.1,2264.06,2276.98,0.35%,0.0063%,0.0007%,0.0034%,0.09%,0.48%,-0.31%,0.26%,0.00%,,,,,,,,
1/9/2017,2273.59,2275.49,2268.9,2268.9,-0.35%,0.0008%,0.0004%,0.0006%,-0.15%,0.08%,-0.21%,-0.21%,0.00%,,,,,,,,
1/10/2017,2269.72,2279.27,2265.27,2268.9,0.00%,0.0038%,0.0000%,0.0019%,0.04%,0.42%,-0.20%,-0.04%,0.00%,,,,,,,,
1/11/2017,2268.6,2275.32,2260.83,2275.32,0.28%,0.0041%,0.0009%,0.0024%,-0.01%,0.30%,-0.34%,0.30%,0.00%,,,,,,,,
1/12/2017,2271.14,2271.78,2254.25,2270.44,-0.21%,0.0060%,0.0000%,0.0030%,-0.18%,0.03%,-0.75%,-0.03%,0.01%,,,,,,,,
1/13/2017,2272.74,2278.68,2271.51,2274.64,0.18%,0.0010%,0.0001%,0.0005%,0.10%,0.26%,-0.05%,0.08%,0.00%,,,,,,,,
1/17/2017,2269.14,2272.08,2262.81,2267.89,-0.30%,0.0017%,0.0000%,0.0008%,-0.24%,0.13%,-0.28%,-0.06%,0.00%,,,,,,,,
1/18/2017,2269.14,2272.01,2263.35,2271.89,0.18%,0.0015%,0.0001%,0.0008%,0.06%,0.13%,-0.26%,0.12%,0.00%,,,,,,,,
1/19/2017,2271.9,2274.33,2258.41,2263.69,-0.36%,0.0049%,0.0013%,0.0030%,0.00%,0.11%,-0.60%,-0.36%,0.00%,,,,,,,,
1/20/2017,2269.96,2276.96,2265.01,2271.31,0.34%,0.0028%,0.0000%,0.0014%,0.28%,0.31%,-0.22%,0.06%,0.00%,,,,,,,,
1/23/2017,2267.78,2271.78,2257.02,2265.2,-0.27%,0.0042%,0.0001%,0.0022%,-0.16%,0.18%,-0.48%,-0.11%,0.00%,,,,,,,,
1/24/2017,2267.88,2284.63,2266.68,2280.07,0.66%,0.0062%,0.0029%,0.0042%,0.12%,0.74%,-0.05%,0.54%,0.00%,,,,,,,,
1/25/2017,2288.88,2299.55,2288.88,2298.37,0.80%,0.0022%,0.0017%,0.0017%,0.39%,0.47%,0.00%,0.41%,0.00%,,,,,,,,
1/26/2017,2298.63,2300.99,2294.08,2296.68,-0.07%,0.0009%,0.0001%,0.0005%,0.01%,0.10%,-0.20%,-0.08%,0.00%,,,,,,,,
1/27/2017,2299.02,2299.02,2291.62,2294.69,-0.09%,0.0010%,0.0004%,0.0007%,0.10%,0.00%,-0.32%,-0.19%,0.00%,,,,,,,,
1/30/2017,2286.01,2286.01,2268.04,2280.9,-0.60%,0.0062%,0.0005%,0.0033%,-0.38%,0.00%,-0.79%,-0.22%,0.00%,,,,,,,,
1/31/2017,2274.02,2279.09,2267.21,2278.87,-0.09%,0.0027%,0.0005%,0.0015%,-0.30%,0.22%,-0.30%,0.21%,0.00%,,,,,,,,
2/1/2017,2285.59,2289.14,2272.44,2279.55,0.03%,0.0054%,0.0007%,0.0030%,0.29%,0.16%,-0.58%,-0.26%,0.00%,,,,,,,,
2/2/2017,2276.69,2283.97,2271.65,2280.85,0.06%,0.0029%,0.0003%,0.0016%,-0.13%,0.32%,-0.22%,0.18%,0.00%,,,,,,,,
2/3/2017,2288.54,2298.31,2287.88,2297.42,0.73%,0.0021%,0.0015%,0.0016%,0.34%,0.43%,-0.03%,0.39%,0.00%,,,,,,,,
2/6/2017,2294.28,2296.18,2288.57,2292.56,-0.21%,0.0011%,0.0001%,0.0006%,-0.14%,0.08%,-0.25%,-0.07%,0.00%,,,,,,,,
2/7/2017,2295.87,2299.4,2290.16,2293.08,0.02%,0.0016%,0.0001%,0.0009%,0.14%,0.15%,-0.25%,-0.12%,0.00%,,,,,,,,
2/8/2017,2289.55,2295.91,2285.38,2294.67,0.07%,0.0021%,0.0005%,0.0012%,-0.15%,0.28%,-0.18%,0.22%,0.00%,,,,,,,,
2/9/2017,2296.7,2311.08,2296.61,2307.87,0.58%,0.0039%,0.0024%,0.0029%,0.09%,0.62%,0.00%,0.49%,0.00%,,,,,,,,
2/10/2017,2312.27,2319.23,2311.1,2316.1,0.36%,0.0012%,0.0003%,0.0007%,0.19%,0.30%,-0.05%,0.17%,0.00%,,,,,,,,
2/13/2017,2321.72,2331.58,2321.42,2328.25,0.52%,0.0019%,0.0008%,0.0013%,0.24%,0.42%,-0.01%,0.28%,0.00%,,,,,,,,
2/14/2017,2326.12,2337.58,2322.17,2337.58,0.40%,0.0044%,0.0024%,0.0031%,-0.09%,0.49%,-0.17%,0.49%,0.00%,,,,,,,,
2/15/2017,2335.58,2351.3,2334.81,2349.25,0.50%,0.0050%,0.0034%,0.0038%,-0.09%,0.67%,-0.03%,0.58%,0.00%,,,,,,,,
2/16/2017,2349.64,2351.31,2338.87,2347.22,-0.09%,0.0028%,0.0001%,0.0014%,0.02%,0.07%,-0.46%,-0.10%,0.00%,,,,,,,,
2/17/2017,2343.01,2351.16,2339.58,2351.16,0.17%,0.0024%,0.0012%,0.0017%,-0.18%,0.35%,-0.15%,0.35%,0.00%,,,,,,,,
2/21/2017,2354.91,2366.71,2354.91,2365.38,0.60%,0.0025%,0.0020%,0.0020%,0.16%,0.50%,0.00%,0.44%,0.00%,,,,,,,,
2/22/2017,2361.11,2365.13,2358.34,2362.82,-0.11%,0.0008%,0.0001%,0.0004%,-0.18%,0.17%,-0.12%,0.07%,0.00%,,,,,,,,
2/23/2017,2367.5,2368.26,2355.09,2363.81,0.04%,0.0031%,0.0002%,0.0016%,0.20%,0.03%,-0.53%,-0.16%,0.00%,,,,,,,,
2/24/2017,2355.73,2367.34,2352.87,2367.34,0.15%,0.0038%,0.0024%,0.0028%,-0.34%,0.49%,-0.12%,0.49%,0.00%,,,,,,,,
2/27/2017,2365.23,2371.54,2361.87,2369.75,0.10%,0.0017%,0.0004%,0.0010%,-0.09%,0.27%,-0.14%,0.19%,0.00%,,,,,,,,
2/28/2017,2366.08,2367.79,2358.96,2363.64,-0.26%,0.0014%,0.0001%,0.0007%,-0.15%,0.07%,-0.30%,-0.10%,0.00%,,,,,,,,
3/1/2017,2380.13,2400.98,2380.13,2395.96,1.37%,0.0076%,0.0044%,0.0055%,0.70%,0.87%,0.00%,0.66%,0.00%,,,,,,,,
3/2/2017,2394.75,2394.75,2380.17,2381.92,-0.59%,0.0037%,0.0029%,0.0030%,-0.05%,0.00%,-0.61%,-0.54%,0.00%,,,,,,,,
3/3/2017,2380.92,2383.89,2375.39,2383.12,0.05%,0.0013%,0.0001%,0.0007%,-0.04%,0.12%,-0.23%,0.09%,0.00%,,,,,,,,
3/6/2017,2375.23,2378.8,2367.98,2375.31,-0.33%,0.0021%,0.0000%,0.0010%,-0.33%,0.15%,-0.31%,0.00%,0.00%,,,,,,,,
3/7/2017,2370.74,2375.12,2365.51,2368.39,-0.29%,0.0016%,0.0001%,0.0009%,-0.19%,0.18%,-0.22%,-0.10%,0.00%,,,,,,,,
3/8/2017,2369.81,2373.09,2361.01,2362.98,-0.23%,0.0026%,0.0008%,0.0016%,0.06%,0.14%,-0.37%,-0.29%,0.00%,,,,,,,,
3/9/2017,2363.49,2369.08,2354.54,2364.87,0.08%,0.0038%,0.0000%,0.0019%,0.02%,0.24%,-0.38%,0.06%,0.00%,,,,,,,,
3/10/2017,2372.52,2376.86,2363.04,2372.6,0.33%,0.0034%,0.0000%,0.0017%,0.32%,0.18%,-0.40%,0.00%,0.00%,,,,,,,,
3/13/2017,2371.56,2374.42,2368.52,2373.47,0.04%,0.0006%,0.0001%,0.0003%,-0.04%,0.12%,-0.13%,0.08%,0.00%,,,,,,,,
3/14/2017,2368.55,2368.55,2358.18,2365.45,-0.34%,0.0019%,0.0002%,0.0010%,-0.21%,0.00%,-0.44%,-0.13%,0.00%,,,,,,,,
3/15/2017,2370.34,2390.01,2368.94,2385.26,0.84%,0.0078%,0.0039%,0.0054%,0.21%,0.83%,-0.06%,0.63%,0.00%,,,,,,,,
3/16/2017,2387.71,2388.1,2377.18,2381.38,-0.16%,0.0021%,0.0007%,0.0013%,0.10%,0.02%,-0.44%,-0.27%,0.00%,,,,,,,,
3/17/2017,2383.71,2385.71,2377.64,2378.25,-0.13%,0.0011%,0.0005%,0.0008%,0.10%,0.08%,-0.25%,-0.23%,0.00%,,,,,,,,
3/20/2017,2378.24,2379.55,2369.66,2373.47,-0.20%,0.0017%,0.0004%,0.0010%,0.00%,0.06%,-0.36%,-0.20%,0.00%,,,,,,,,
3/21/2017,2379.32,2381.93,2341.9,2344.02,-1.24%,0.0287%,0.0223%,0.0230%,0.25%,0.11%,-1.59%,-1.49%,0.00%,,,,,,,,
3/22/2017,2343,2351.81,2336.45,2348.45,0.19%,0.0043%,0.0005%,0.0024%,-0.04%,0.38%,-0.28%,0.23%,0.00%,,,,,,,,
3/23/2017,2345.97,2358.92,2342.13,2345.96,-0.11%,0.0051%,0.0000%,0.0026%,-0.11%,0.55%,-0.16%,0.00%,0.00%,,,,,,,,
3/24/2017,2350.42,2356.22,2335.74,2343.98,-0.08%,0.0076%,0.0008%,0.0041%,0.19%,0.25%,-0.63%,-0.27%,0.00%,,,,,,,,
3/27/2017,2329.11,2344.9,2322.25,2341.59,-0.10%,0.0094%,0.0029%,0.0058%,-0.64%,0.68%,-0.29%,0.53%,0.00%,,,,,,,,
3/28/2017,2339.79,2363.78,2337.63,2358.57,0.73%,0.0124%,0.0064%,0.0087%,-0.08%,1.02%,-0.09%,0.80%,0.00%,,,,,,,,
3/29/2017,2356.54,2363.36,2352.94,2361.13,0.11%,0.0020%,0.0004%,0.0011%,-0.09%,0.29%,-0.15%,0.19%,0.00%,,,,,,,,
3/30/2017,2361.31,2370.42,2358.58,2368.06,0.29%,0.0025%,0.0008%,0.0016%,0.01%,0.39%,-0.12%,0.29%,0.00%,,,,,,,,
3/31/2017,2364.82,2370.35,2362.6,2362.72,-0.23%,0.0011%,0.0001%,0.0006%,-0.14%,0.23%,-0.09%,-0.09%,0.00%,,,,,,,,
4/3/2017,2362.34,2365.87,2344.73,2358.84,-0.16%,0.0081%,0.0002%,0.0041%,-0.02%,0.15%,-0.75%,-0.15%,0.00%,,,,,,,,
4/4/2017,2354.76,2360.53,2350.72,2360.16,0.06%,0.0017%,0.0005%,0.0011%,-0.17%,0.24%,-0.17%,0.23%,0.00%,,,,,,,,
4/5/2017,2366.59,2378.36,2350.52,2352.95,-0.31%,0.0139%,0.0033%,0.0082%,0.27%,0.50%,-0.68%,-0.58%,0.01%,,,,,,,,
4/6/2017,2353.79,2364.16,2348.9,2357.49,0.19%,0.0042%,0.0002%,0.0022%,0.04%,0.44%,-0.21%,0.16%,0.00%,,,,,,,,
4/7/2017,2356.59,2363.76,2350.74,2355.54,-0.08%,0.0031%,0.0000%,0.0015%,-0.04%,0.30%,-0.25%,-0.04%,0.00%,,,,,,,,
4/10/2017,2357.16,2366.37,2351.5,2357.16,0.07%,0.0040%,0.0000%,0.0020%,0.07%,0.39%,-0.24%,0.00%,0.00%,,,,,,,,
4/11/2017,2353.92,2355.22,2337.25,2353.78,-0.14%,0.0059%,0.0000%,0.0029%,-0.14%,0.06%,-0.71%,-0.01%,0.01%,,,,,,,,
4/12/2017,2352.15,2352.72,2341.18,2344.93,-0.38%,0.0024%,0.0009%,0.0016%,-0.07%,0.02%,-0.47%,-0.31%,0.00%,,,,,,,,
4/13/2017,2341.98,2348.26,2328.95,2328.95,-0.68%,0.0068%,0.0031%,0.0046%,-0.13%,0.27%,-0.56%,-0.56%,0.00%,,,,,,,,
4/17/2017,2332.62,2349.14,2332.51,2349.01,0.86%,0.0050%,0.0049%,0.0044%,0.16%,0.71%,0.00%,0.70%,0.00%,,,,,,,,
4/18/2017,2342.53,2348.35,2334.54,2342.19,-0.29%,0.0035%,0.0000%,0.0017%,-0.28%,0.25%,-0.34%,-0.01%,0.00%,,,,,,,,
4/19/2017,2346.79,2352.63,2335.05,2338.17,-0.17%,0.0056%,0.0014%,0.0033%,0.20%,0.25%,-0.50%,-0.37%,0.00%,,,,,,,,
4/20/2017,2342.69,2361.37,2340.91,2355.84,0.76%,0.0076%,0.0031%,0.0050%,0.19%,0.79%,-0.08%,0.56%,0.00%,,,,,,,,
4/21/2017,2354.74,2356.18,2344.51,2348.69,-0.30%,0.0025%,0.0007%,0.0015%,-0.05%,0.06%,-0.44%,-0.26%,0.00%,,,,,,,,
4/24/2017,2370.33,2376.98,2369.19,2374.15,1.08%,0.0011%,0.0003%,0.0006%,0.92%,0.28%,-0.05%,0.16%,0.00%,,,,,,,,
4/25/2017,2381.51,2392.48,2381.15,2388.61,0.61%,0.0023%,0.0009%,0.0015%,0.31%,0.46%,-0.02%,0.30%,0.00%,,,,,,,,
4/26/2017,2388.98,2398.16,2386.76,2387.45,-0.05%,0.0023%,0.0000%,0.0012%,0.02%,0.38%,-0.09%,-0.06%,0.00%,,,,,,,,
4/27/2017,2389.7,2392.1,2382.68,2388.77,0.06%,0.0016%,0.0000%,0.0008%,0.09%,0.10%,-0.29%,-0.04%,0.00%,,,,,,,,
4/28/2017,2393.68,2393.68,2382.36,2384.2,-0.19%,0.0022%,0.0016%,0.0017%,0.21%,0.00%,-0.47%,-0.40%,0.00%,,,,,,,,
5/1/2017,2388.5,2394.49,2384.83,2388.33,0.17%,0.0016%,0.0000%,0.0008%,0.18%,0.25%,-0.15%,-0.01%,0.00%,,,,,,,,
5/2/2017,2391.05,2392.93,2385.82,2391.17,0.12%,0.0009%,0.0000%,0.0004%,0.11%,0.08%,-0.22%,0.01%,0.00%,,,,,,,,
5/3/2017,2386.5,2389.82,2379.75,2388.13,-0.13%,0.0018%,0.0000%,0.0009%,-0.20%,0.14%,-0.28%,0.07%,0.00%,,,,,,,,
5/4/2017,2389.79,2391.43,2380.35,2389.52,0.06%,0.0022%,0.0000%,0.0011%,0.07%,0.07%,-0.40%,-0.01%,0.00%,,,,,,,,
5/5/2017,2392.37,2399.29,2389.38,2399.29,0.41%,0.0017%,0.0008%,0.0012%,0.12%,0.29%,-0.13%,0.29%,0.00%,,,,,,,,
5/8/2017,2399.94,2401.36,2393.92,2399.38,0.00%,0.0010%,0.0000%,0.0005%,0.03%,0.06%,-0.25%,-0.02%,0.00%,,,,,,,,
5/9/2017,2401.58,2403.87,2392.44,2396.92,-0.10%,0.0023%,0.0004%,0.0013%,0.09%,0.10%,-0.38%,-0.19%,0.00%,,,,,,,,
5/10/2017,2396.79,2399.74,2392.79,2399.63,0.11%,0.0008%,0.0001%,0.0005%,-0.01%,0.12%,-0.17%,0.12%,0.00%,,,,,,,,
5/11/2017,2394.84,2395.72,2381.74,2394.44,-0.22%,0.0034%,0.0000%,0.0017%,-0.20%,0.04%,-0.55%,-0.02%,0.00%,,,,,,,,
5/12/2017,2392.44,2392.44,2387.19,2390.9,-0.15%,0.0005%,0.0000%,0.0003%,-0.08%,0.00%,-0.22%,-0.06%,0.00%,,,,,,,,
5/15/2017,2393.98,2404.05,2393.94,2402.32,0.48%,0.0018%,0.0012%,0.0014%,0.13%,0.42%,0.00%,0.35%,0.00%,,,,,,,,
5/16/2017,2404.55,2405.77,2396.05,2400.67,-0.07%,0.0016%,0.0003%,0.0009%,0.09%,0.05%,-0.35%,-0.16%,0.00%,,,,,,,,
5/17/2017,2382.95,2384.87,2356.21,2357.03,-1.82%,0.0146%,0.0120%,0.0119%,-0.74%,0.08%,-1.13%,-1.09%,0.00%,,,,,,,,
5/18/2017,2354.69,2375.74,2352.72,2365.72,0.37%,0.0095%,0.0022%,0.0056%,-0.10%,0.89%,-0.08%,0.47%,0.00%,,,,,,,,
5/19/2017,2371.37,2389.06,2370.43,2381.73,0.68%,0.0061%,0.0019%,0.0038%,0.24%,0.74%,-0.04%,0.44%,0.00%,,,,,,,,
5/22/2017,2387.21,2395.46,2386.92,2394.02,0.52%,0.0013%,0.0008%,0.0010%,0.23%,0.34%,-0.01%,0.28%,0.00%,,,,,,,,
5/23/2017,2397.04,2400.85,2393.88,2398.42,0.18%,0.0008%,0.0000%,0.0004%,0.13%,0.16%,-0.13%,0.06%,0.00%,,,,,,,,
5/24/2017,2401.41,2405.58,2397.99,2404.39,0.25%,0.0010%,0.0002%,0.0006%,0.12%,0.17%,-0.14%,0.12%,0.00%,,,,,,,,
5/25/2017,2409.54,2418.71,2408.01,2415.07,0.44%,0.0020%,0.0005%,0.0012%,0.21%,0.38%,-0.06%,0.23%,0.00%,,,,,,,,
5/26/2017,2414.5,2416.68,2412.2,2415.82,0.03%,0.0003%,0.0000%,0.0002%,-0.02%,0.09%,-0.10%,0.05%,0.00%,,,,,,,,
5/30/2017,2411.67,2415.26,2409.43,2412.91,-0.12%,0.0006%,0.0000%,0.0003%,-0.17%,0.15%,-0.09%,0.05%,0.00%,,,,,,,,
5/31/2017,2415.63,2415.99,2403.59,2411.8,-0.05%,0.0026%,0.0003%,0.0014%,0.11%,0.01%,-0.50%,-0.16%,0.00%,,,,,,,,
6/1/2017,2415.65,2430.06,2413.54,2430.06,0.76%,0.0047%,0.0035%,0.0037%,0.16%,0.59%,-0.09%,0.59%,0.00%,,,,,,,,
6/2/2017,2431.28,2440.23,2427.71,2439.07,0.37%,0.0026%,0.0010%,0.0017%,0.05%,0.37%,-0.15%,0.32%,0.00%,,,,,,,,
6/5/2017,2437.83,2439.55,2434.32,2436.1,-0.12%,0.0005%,0.0001%,0.0002%,-0.05%,0.07%,-0.14%,-0.07%,0.00%,,,,,,,,
6/6/2017,2431.92,2436.21,2428.12,2429.33,-0.28%,0.0011%,0.0001%,0.0006%,-0.17%,0.18%,-0.16%,-0.11%,0.00%,,,,,,,,
6/7/2017,2432.03,2435.28,2424.75,2433.14,0.16%,0.0019%,0.0000%,0.0009%,0.11%,0.13%,-0.30%,0.05%,0.00%,,,,,,,,
6/8/2017,2434.27,2439.27,2427.94,2433.79,0.03%,0.0022%,0.0000%,0.0011%,0.05%,0.21%,-0.26%,-0.02%,0.00%,,,,,,,,
6/9/2017,2436.39,2446.2,2415.7,2431.77,-0.08%,0.0157%,0.0004%,0.0080%,0.11%,0.40%,-0.85%,-0.19%,0.01%,,,,,,,,
6/12/2017,2425.88,2430.38,2419.97,2429.39,-0.10%,0.0018%,0.0002%,0.0010%,-0.24%,0.19%,-0.24%,0.14%,0.00%,,,,,,,,
6/13/2017,2434.15,2441.49,2431.28,2440.35,0.45%,0.0018%,0.0006%,0.0011%,0.20%,0.30%,-0.12%,0.25%,0.00%,,,,,,,,
6/14/2017,2443.75,2443.75,2428.34,2437.92,-0.10%,0.0040%,0.0006%,0.0022%,0.14%,0.00%,-0.63%,-0.24%,0.00%,,,,,,,,
6/15/2017,2424.14,2433.95,2418.53,2432.46,-0.22%,0.0040%,0.0012%,0.0025%,-0.57%,0.40%,-0.23%,0.34%,0.00%,,,,,,,,
6/16/2017,2431.24,2433.15,2422.88,2433.15,0.03%,0.0018%,0.0001%,0.0009%,-0.05%,0.08%,-0.34%,0.08%,0.00%,,,,,,,,
6/19/2017,2442.55,2453.82,2441.79,2453.46,0.83%,0.0024%,0.0020%,0.0020%,0.39%,0.46%,-0.03%,0.45%,0.00%,,,,,,,,
6/20/2017,2450.66,2450.66,2436.6,2437.03,-0.67%,0.0033%,0.0031%,0.0029%,-0.11%,0.00%,-0.58%,-0.56%,0.00%,,,,,,,,
6/21/2017,2439.31,2442.23,2430.74,2435.61,-0.06%,0.0022%,0.0002%,0.0012%,0.09%,0.12%,-0.35%,-0.15%,0.00%,,,,,,,,
6/22/2017,2437.4,2441.62,2433.27,2434.5,-0.05%,0.0012%,0.0001%,0.0006%,0.07%,0.17%,-0.17%,-0.12%,0.00%,,,,,,,,
6/23/2017,2434.65,2441.4,2431.11,2438.3,0.16%,0.0018%,0.0002%,0.0010%,0.01%,0.28%,-0.15%,0.15%,0.00%,,,,,,,,
6/26/2017,2443.32,2450.42,2437.03,2439.07,0.03%,0.0030%,0.0003%,0.0016%,0.21%,0.29%,-0.26%,-0.17%,0.00%,,,,,,,,
6/27/2017,2436.34,2440.15,2419.38,2419.38,-0.81%,0.0073%,0.0049%,0.0055%,-0.11%,0.16%,-0.70%,-0.70%,0.00%,,,,,,,,
6/28/2017,2428.7,2442.97,2428.02,2440.69,0.88%,0.0038%,0.0024%,0.0028%,0.38%,0.59%,-0.03%,0.49%,0.00%,,,,,,,,
6/29/2017,2442.38,2442.73,2405.7,2419.7,-0.86%,0.0233%,0.0087%,0.0150%,0.07%,0.01%,-1.51%,-0.93%,0.01%,,,,,,,,
6/30/2017,2429.2,2432.71,2421.65,2423.41,0.15%,0.0021%,0.0006%,0.0013%,0.39%,0.14%,-0.31%,-0.24%,0.00%,,,,,,,,
7/3/2017,2431.39,2439.17,2428.69,2429.01,0.23%,0.0019%,0.0001%,0.0010%,0.33%,0.32%,-0.11%,-0.10%,0.00%,,,,,,,,
7/5/2017,2430.78,2434.9,2422.05,2432.54,0.15%,0.0028%,0.0001%,0.0014%,0.07%,0.17%,-0.36%,0.07%,0.00%,,,,,,,,
7/6/2017,2423.44,2424.28,2407.7,2409.75,-0.94%,0.0047%,0.0032%,0.0036%,-0.37%,0.03%,-0.65%,-0.57%,0.00%,,,,,,,,
7/7/2017,2413.52,2426.92,2413.52,2425.18,0.64%,0.0031%,0.0023%,0.0024%,0.16%,0.55%,0.00%,0.48%,0.00%,,,,,,,,
7/10/2017,2424.51,2432,2422.27,2427.43,0.09%,0.0016%,0.0001%,0.0009%,-0.03%,0.31%,-0.09%,0.12%,0.00%,,,,,,,,
7/11/2017,2427.35,2429.3,2412.79,2425.53,-0.08%,0.0047%,0.0001%,0.0023%,0.00%,0.08%,-0.60%,-0.08%,0.00%,,,,,,,,
7/12/2017,2435.75,2445.76,2435.75,2443.25,0.73%,0.0017%,0.0009%,0.0012%,0.42%,0.41%,0.00%,0.31%,0.00%,,,,,,,,
7/13/2017,2444.99,2449.32,2441.69,2447.83,0.19%,0.0010%,0.0001%,0.0005%,0.07%,0.18%,-0.14%,0.12%,0.00%,,,,,,,,
7/14/2017,2449.16,2463.54,2446.69,2459.27,0.47%,0.0047%,0.0017%,0.0030%,0.05%,0.59%,-0.10%,0.41%,0.00%,,,,,,,,
7/17/2017,2459.5,2462.82,2457.16,2459.14,-0.01%,0.0005%,0.0000%,0.0003%,0.01%,0.13%,-0.10%,-0.01%,0.00%,,,,,,,,
7/18/2017,2455.88,2460.92,2450.34,2460.61,0.06%,0.0019%,0.0004%,0.0011%,-0.13%,0.21%,-0.23%,0.19%,0.00%,,,,,,,,
7/19/2017,2463.85,2473.83,2463.85,2473.83,0.54%,0.0016%,0.0016%,0.0014%,0.13%,0.40%,0.00%,0.40%,0.00%,,,,,,,,
7/20/2017,2475.56,2477.62,2468.43,2473.45,-0.02%,0.0014%,0.0001%,0.0007%,0.07%,0.08%,-0.29%,-0.09%,0.00%,,,,,,,,
7/21/2017,2467.4,2472.54,2465.06,2472.54,-0.04%,0.0009%,0.0004%,0.0006%,-0.24%,0.21%,-0.09%,0.21%,0.00%,,,,,,,,
7/24/2017,2472.04,2473.1,2466.32,2469.91,-0.11%,0.0008%,0.0001%,0.0004%,-0.02%,0.04%,-0.23%,-0.09%,0.00%,,,,,,,,
7/25/2017,2477.88,2481.24,2474.91,2477.13,0.29%,0.0007%,0.0000%,0.0003%,0.32%,0.14%,-0.12%,-0.03%,0.00%,,,,,,,,
7/26/2017,2479.97,2481.69,2474.94,2477.83,0.03%,0.0007%,0.0001%,0.0004%,0.11%,0.07%,-0.20%,-0.09%,0.00%,,,,,,,,
7/27/2017,2482.76,2484.04,2459.93,2475.42,-0.10%,0.0095%,0.0009%,0.0051%,0.20%,0.05%,-0.92%,-0.30%,0.01%,,,,,,,,
7/28/2017,2469.12,2473.53,2464.66,2472.1,-0.13%,0.0013%,0.0001%,0.0007%,-0.25%,0.18%,-0.18%,0.12%,0.00%,,,,,,,,
7/31/2017,2475.94,2477.96,2468.53,2470.3,-0.07%,0.0015%,0.0005%,0.0009%,0.16%,0.08%,-0.30%,-0.23%,0.00%,,,,,,,,
